Timestamp,Source MAC,Destination MAC,BSSID,SSID,Security,Channel,RSSI,Type,Subtype,Length (bytes)
2025-11-17 16:32:41.854284,92:83:48:46:db:20,ff:ff:ff:ff:ff:ff,92:83:48:46:db:20,somil's S25+,WPA2/WPA3,11,-68,0,8,301
2025-11-17 16:32:41.860333,92:83:48:46:db:20,3e:72:d6:de:2e:ff,92:83:48:46:db:20,somil's S25+,WPA2/WPA3,11,-69,0,5,295
2025-11-17 16:32:41.864520,92:83:48:46:db:20,3e:72:d6:de:2e:ff,92:83:48:46:db:20,somil's S25+,WPA2/WPA3,11,-69,0,5,295
2025-11-17 16:32:41.876686,92:83:48:46:db:20,3e:72:d6:de:2e:ff,92:83:48:46:db:20,somil's S25+,WPA2/WPA3,11,-70,0,5,295
2025-11-17 16:32:41.890790,92:83:48:46:db:20,3e:72:d6:de:2e:ff,92:83:48:46:db:20,somil's S25+,WPA2/WPA3,11,-73,0,5,295
2025-11-17 16:32:41.897305,92:83:48:46:db:20,3e:72:d6:de:2e:ff,92:83:48:46:db:20,somil's S25+,WPA2/WPA3,11,-71,0,5,295
2025-11-17 16:32:41.952288,92:83:48:46:db:20,ff:ff:ff:ff:ff:ff,92:83:48:46:db:20,somil's S25+,WPA2/WPA3,11,-66,0,8,301
2025-11-17 16:32:42.000983,0a:6d:0f:54:01:cc,ff:ff:ff:ff:ff:ff,0a:6d:0f:54:01:cc,Redmi Note 10S,WPA2/WPA3,11,-71,0,8,262
2025-11-17 16:32:42.046290,0a:6d:0f:54:01:cc,40:ed:00:9c:72:41,0a:6d:0f:54:01:cc,Redmi Note 10S,WPA2/WPA3,11,-71,0,5,256
2025-11-17 16:32:42.050663,0a:6d:0f:54:01:cc,40:ed:00:9c:72:41,0a:6d:0f:54:01:cc,Redmi Note 10S,WPA2/WPA3,11,-71,0,5,256
